Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.10052 0.13021 10.052 13.021 U 0.5 0.5 N1.1_U2.28 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.10217 0.13095 10.217 13.095 U 0.5 0.5 N1.1_U2.29 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.0741 0.13379 7.41 13.379 U 0.5 0.5 N1.1_U2.3 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09752 0.13439 9.752 13.439 U 0.5 0.5 N1.1_U2.30 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.0808 0.14348 8.08 14.348 U 0.5 0.5 N1.1_U2.31 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.0987 0.1328 9.87 13.28 U 0.5 0.5 N1.1_U2.32 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09172 0.13369 9.172 13.369 U 0.5 0.5 N1.1_U2.33 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09229 0.12829 9.229 12.829 U 0.5 0.5 N1.1_U2.34 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.11698 0.14317 11.698 14.317 U 0.5 0.5 N1.1_U2.35 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.08471 0.12982 8.471 12.982 U 0.5 0.5 N1.1_U2.4 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.10517 0.13895 10.517 13.895 U 0.5 0.5 N1.1_U2.5 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.08959 0.13402 8.959 13.402 U 0.5 0.5 N1.1_U2.6 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.10058 0.12194 10.058 12.194 U 0.5 0.5 N1.1_U2.7 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.096 0.13079 9.6 13.079 U 0.5 0.5 N1.1_U2.8 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.09515 0.13473 9.515 13.473 U 0.5 0.5 N1.1_U2.9 N1.1_U2 1 dam_N1 sire_N1 N1N1
0.12715 0.15899 12.715 15.899 N 0.5 0.5 N1.2_N1.1 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.10302 0.14499 10.302 14.499 N 0.5 0.5 N1.2_N1.10 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.10691 0.15072 10.691 15.072 N 0.5 0.5 N1.2_N1.11 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.10966 0.14997 10.966 14.997 N 0.5 0.5 N1.2_N1.12 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13184 0.1621 13.184 16.21 N 0.5 0.5 N1.2_N1.13 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13866 0.1482 13.866 14.82 N 0.5 0.5 N1.2_N1.14 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12655 0.15695 12.655 15.695 N 0.5 0.5 N1.2_N1.15 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12977 0.15454 12.977 15.454 N 0.5 0.5 N1.2_N1.16 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12838 0.14972 12.838 14.972 N 0.5 0.5 N1.2_N1.17 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.11945 0.14828 11.945 14.828 N 0.5 0.5 N1.2_N1.18 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.11917 0.14044 11.917 14.044 N 0.5 0.5 N1.2_N1.19 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13003 0.16355 13.003 16.355 N 0.5 0.5 N1.2_N1.2 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13953 0.14743 13.953 14.743 N 0.5 0.5 N1.2_N1.20 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13144 0.16545 13.144 16.545 N 0.5 0.5 N1.2_N1.21 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.14355 0.14711 14.355 14.711 N 0.5 0.5 N1.2_N1.22 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12079 0.14019 12.079 14.019 N 0.5 0.5 N1.2_N1.23 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.11873 0.14944 11.873 14.944 N 0.5 0.5 N1.2_N1.24 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13139 0.15304 13.139 15.304 N 0.5 0.5 N1.2_N1.25 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12888 0.15318 12.888 15.318 N 0.5 0.5 N1.2_N1.26 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13549 0.15478 13.549 15.478 N 0.5 0.5 N1.2_N1.27 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12599 0.15162 12.599 15.162 N 0.5 0.5 N1.2_N1.28 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12897 0.14646 12.897 14.646 N 0.5 0.5 N1.2_N1.29 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12465 0.14511 12.465 14.511 N 0.5 0.5 N1.2_N1.3 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12591 0.14694 12.591 14.694 N 0.5 0.5 N1.2_N1.30 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12486 0.15627 12.486 15.627 N 0.5 0.5 N1.2_N1.31 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12348 0.15461 12.348 15.461 N 0.5 0.5 N1.2_N1.32 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13859 0.16137 13.859 16.137 N 0.5 0.5 N1.2_N1.33 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.13688 0.15828 13.688 15.828 N 0.5 0.5 N1.2_N1.34 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.14013 0.16142 14.013 16.142 N 0.5 0.5 N1.2_N1.35 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.1075 0.13761 10.75 13.761 N 0.5 0.5 N1.2_N1.36 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.11671 0.13167 11.671 13.167 N 0.5 0.5 N1.2_N1.4 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.11663 0.14729 11.663 14.729 N 0.5 0.5 N1.2_N1.5 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12354 0.1554 12.354 15.54 N 0.5 0.5 N1.2_N1.6 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.126 0.14816 12.6 14.816 N 0.5 0.5 N1.2_N1.7 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12277 0.13587 12.277 13.587 N 0.5 0.5 N1.2_N1.8 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.12109 0.15781 12.109 15.781 N 0.5 0.5 N1.2_N1.9 N1.2_N1 1 dam_N1 sire_N2 N1N2
0.14278 0.15994 14.278 15.994 N 0.5 0.5 N1.2_N2.1 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12279 0.13578 12.279 13.578 N 0.5 0.5 N1.2_N2.10 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12678 0.14309 12.678 14.309 N 0.5 0.5 N1.2_N2.11 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12468 0.13631 12.468 13.631 N 0.5 0.5 N1.2_N2.12 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13498 0.15194 13.498 15.194 N 0.5 0.5 N1.2_N2.13 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13162 0.14725 13.162 14.725 N 0.5 0.5 N1.2_N2.14 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12597 0.13566 12.597 13.566 N 0.5 0.5 N1.2_N2.15 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12556 0.14782 12.556 14.782 N 0.5 0.5 N1.2_N2.16 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.08675 0.11685 8.675 11.685 N 0.5 0.5 N1.2_N2.17 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.1346 0.14527 13.46 14.527 N 0.5 0.5 N1.2_N2.18 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12716 0.14825 12.716 14.825 N 0.5 0.5 N1.2_N2.19 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13062 0.14059 13.062 14.059 N 0.5 0.5 N1.2_N2.2 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.1243 0.14473 12.43 14.473 N 0.5 0.5 N1.2_N2.20 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12776 0.14959 12.776 14.959 N 0.5 0.5 N1.2_N2.21 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13302 0.15338 13.302 15.338 N 0.5 0.5 N1.2_N2.22 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13257 0.14424 13.257 14.424 N 0.5 0.5 N1.2_N2.23 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.1051 0.13748 10.51 13.748 N 0.5 0.5 N1.2_N2.24 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12379 0.14951 12.379 14.951 N 0.5 0.5 N1.2_N2.25 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12312 0.13799 12.312 13.799 N 0.5 0.5 N1.2_N2.26 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13059 0.15264 13.059 15.264 N 0.5 0.5 N1.2_N2.27 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12549 0.14818 12.549 14.818 N 0.5 0.5 N1.2_N2.28 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13718 0.14184 13.718 14.184 N 0.5 0.5 N1.2_N2.29 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13843 0.15346 13.843 15.346 N 0.5 0.5 N1.2_N2.3 N1.2_N2 1 dam_N1 sire_N2 N1N2
