Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
U109_N2_RNA_S78_L001_R2										12.586459740704168	2.8930588191026834	4.063550606536065	1.3404666833441061	3.428907469053475	1.2944859225932435	1.7118339093887485
U109_U1_RNA_S79_L001_R1										15.206628739279468	3.9636179963822777	5.820178117045941	1.621564504235734	3.3273454094821346	1.5082609909298077	2.6463290749988064
U109_U1_RNA_S79_L001_R2										13.003168789318561	3.2973351940852056	4.795707505979648	1.5308495546520224	3.854369394955685	1.6452948912600744	2.2093970918457178
U11_N1_RNA_S42_L001_R1										13.185085823809978	3.122814862419691	4.505486816359986	1.349732031603285	3.241674136814389	1.2451402408709984	1.5169414123685352
U11_N1_RNA_S42_L001_R2										10.677879997209835	2.470494198803111	3.753335488399549	1.285645832574438	3.703876820369877	1.0382169252653204	1.2214887525276612
U11_U1_RNA_S43_L001_R1										13.529237169829011	3.404453138076423	5.139321507353236	1.7003809550256586	4.1027398397442525	2.026399374365052	2.8497426832826056
U11_U1_RNA_S43_L001_R2										11.383114107978969	2.8493779115630815	4.366281025649721	1.6511325967355712	4.812056887083722	1.9393120993232977	2.65263166137039
U12_N1_RNA_S44_L001_R1										13.243351943183912	3.2700035231531976	4.745023332394362	1.685235657639371	3.379629922049903	1.4935885686210904	2.299320977655967
U12_N1_RNA_S44_L001_R2										11.17238395553472	2.567644175051046	4.1603549640023285	1.4975946302224907	4.051521112351524	1.4052099089491925	1.8440582576660998
U12_U1_RNA_S45_L001_R1										13.584087326384026	3.3078912198637664	4.843463044348736	1.6493077102018312	3.3108642051640422	1.2533119447780916	1.6879718801568875
U12_U1_RNA_S45_L001_R2										11.234295299869787	2.5704062701833914	4.154976772568104	1.460483746328836	3.705340196760054	1.0612436334989654	1.4011647633619106
U21_N1_RNA_S46_L001_R1										13.693944230441177	3.3759541199556873	4.87928084042463	1.422244836674693	3.0051859593123664	1.1456612080252706	1.5345531516585555
U21_N1_RNA_S46_L001_R2										11.641176976365703	2.7965553335450326	4.246771063988382	1.3224309329187431	3.551394030415768	1.1231644534044933	1.134254139208066
U21_U2_RNA_S47_L001_R1										14.057980469802168	3.4906353687728258	5.335604742524618	1.6231851187797723	3.523513049901874	1.4403167901099525	2.3652849121178954
U21_U2_RNA_S47_L001_R2										11.870589627002898	2.9309127344203487	4.402872828498265	1.5079191941351187	3.9064259563157546	1.6618178499321605	1.7844336016429645
U22_N1_RNA_S48_L001_R1										13.759961365320164	3.4875388916667167	5.079899812513796	1.5510479411349656	3.4123695705453967	1.237383787806565	2.1232049306821352
U22_N1_RNA_S48_L001_R2										11.823881516750639	2.92599997232252	4.528096387595327	1.5109926482983436	3.8363075026295594	1.506823858557852	1.6061505398886746
U22_U1_RNA_S49_L001_R1										13.26025787250903	3.2665431477848657	4.940470313596483	1.6493686017098392	3.5511580680433323	1.3786630128290696	1.9639138379682854
